ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Unit Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
379,"8640090492","086400904926","OCB PAPER BAMBOO PAPER KING SLIM","KINGSIZE","1","1.27","1.270","3.50",,,,,"Tax","ROLLING PAPERS & CONES",,"Nepa 305","10.00",10,"63.71",1,1,"C",0,"general",0,"83723",24,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
380,"8640090326","086400903264","OCB PAPER PREMIUM KING SLIM + TIPS ROLLING","KINGSIZE","1","1.27","1.270","3.50",,,,,"Tax","ROLLING PAPERS & CONES",,"Nepa 305","23.00",23,"63.71",0,0,"D",0,"general",0,"11918",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
381,"9047833100","090478331003","SIDRAL MUNDET APPLE SODA 12OZ","12OZ","1","0.00","0.000","2.00",,,,,"Tax","BEVERAGES",,"UNKNOWN","0.00",0,"100.00",0,0,"D",0,"general",0,"58421",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
382,"9047841001","090478410012","JARRITOS MANDARIN 12.5OZ","12.5OZ","1","1.12","0.000","2.50",,,,,"Tax","BEVERAGES",,"KARINA DROPPED MERCH","19.00",19,"55.20",1,1,"C",0,"general",0,"95085",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
383,"9047841002","090478410029","JARRITOS TAMARIND 12.5OZ","12.5OZ","1","1.12","0.000","2.50",,,,,"Tax","BEVERAGES",,"KARINA DROPPED MERCH","12.00",12,"55.20",2,2,"C",0,"general",0,"39426",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
384,"9047841004","090478410043","JARRITOS PINEAPPLE 12.5OZ","12.5OZ","1","1.12","1.120","2.50",,,,,"Tax","BEVERAGES",,"KARINA DROPPED MERCH","22.00",22,"55.20",2,2,"C",0,"general",0,"78734",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
385,"9047841005","090478410050","JARRITOS LIME 12.5OZ","12.5OZ","1","1.12","0.000","2.50",,,,,"Tax","BEVERAGES",,"Nepa 305","0.00",0,"55.20",3,3,"D",0,"general",0,"84680",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
386,"9112891200","091128912009","DUD SWEET JELLY HOOKAH TIPS","MISC","1","0.00","0.000","2.00",,,,,"Tax","HOOKAH RELATED",,"UNKNOWN","8.00",8,"100.00",1,0,"D",0,"general",0,"73567",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
388,"9047841008","090478410081","JARRITOS GUAVA 12.5OZ","12.5OZ","1","1.12","1.050","2.50",,,,,"Tax","BEVERAGES",,"Nepa 305","25.00",25,"55.20",0,0,"D",0,"general",0,"87835",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
390,"9158504114, 9158502968, 9158504618","091585041144, 091585041144, 091585041144","CLIPPER LIGHTER",,"1","0.38","0.420","3.00",,,,,"Tax","LIGHTERS & TORCHES",,"SUNSHINE NOVELTY","1.00, 0.00, -1.00",0,"87.33",48,3,"D",0,"general",0,"89691",48,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
391,"9158504583","091585045838","CLIPPER JET FLAME",,"1","0.00","0.000","3.75",,,,,"Tax","LIGHTERS & TORCHES",,"UNKNOWN","2.00",2,"100.00",0,0,"D",0,"general",0,"52525",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
392,"0000306136","100003061364","POD JUICE 0MG JEWEL MINT","100ML","1","0.00","0.000","18.00",,,,,"Tax","VAPE JUICES",,"UNKNOWN","2.00",2,"100.00",48,0,"D",0,"general",0,"27822",48,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
